PLAYER,TEAM,POS,POS2,評分,排名,真實薪水,評估薪水,Diff
Vít Krejčí,ATL,Wing,SG,3.3 ,253,"$2,349,578 ","$4,843,050 ","$2,493,472 "
Tre Mann,CHA,Combo,PG,3.3 ,254,"$8,000,000 ","$4,843,050 ","($3,156,950)"
Bruce Brown,DEN,Combo,SG,3.3 ,255,"$2,296,274 ","$4,843,050 ","$2,546,776 "
Saddiq Bey,NOP,Forward,PF,3.3 ,256,"$6,118,644 ","$4,843,050 ","($1,275,594)"
Isaiah Jackson,IND,Center,C,3.3 ,257,"$7,600,000 ","$4,843,050 ","($2,756,950)"
Georges Niang,UTA,Forward,PF,3.3 ,258,"$8,200,000 ","$4,549,542 ","($3,650,458)"
Kyle Anderson,UTA,Big,PF,3.3 ,259,"$9,219,512 ","$4,549,542 ","($4,669,970)"
Ryan Dunn,PHX,Forward,PF,3.3 ,260,"$2,657,760 ","$4,549,542 ","$1,891,782 "
Marcus Sasser,DET,Combo,PG,3.3 ,261,"$2,886,720 ","$4,549,542 ","$1,662,822 "
Nick Richards,PHX,Center,C,3.3 ,262,"$5,000,000 ","$4,549,542 ","($450,458)"
Trayce Jackson-Davis,GSW,Center,C,3.3 ,263,"$2,221,677 ","$4,549,542 ","$2,327,865 "
Jaime Jaquez Jr.,MIA,Forward,SF,3.3 ,264,"$3,861,600 ","$4,549,542 ","$687,942 "
Brice Sensabaugh,UTA,Forward,SF,3.2 ,265,"$2,693,760 ","$4,267,707 ","$1,573,947 "
Corey Kispert,WAS,Wing,SG,3.2 ,266,"$13,975,000 ","$4,267,707 ","($9,707,293)"
Neemias Queta,BOS,Center,C,3.2 ,267,"$2,349,578 ","$4,267,707 ","$1,918,129 "
Peyton Watson,DEN,Forward,PF,3.2 ,268,"$4,356,476 ","$4,267,707 ","($88,769)"
Moussa Diabaté,CHA,Center,C,3.2 ,269,"$2,270,735 ","$4,267,707 ","$1,996,972 "
Jarred Vanderbilt,LAL,Big,PF,3.1 ,270,"$11,571,429 ","$3,997,471 ","($7,573,958)"
Aaron Holiday,HOU,Combo,PG,3.1 ,271,"$2,296,274 ","$3,997,471 ","$1,701,197 "
Terance Mann,BKN,Wing,SG,3.1 ,272,"$15,500,000 ","$3,997,471 ","($11,502,529)"
Andre Drummond,PHI,Center,C,3.1 ,273,"$5,000,000 ","$3,997,471 ","($1,002,529)"
Josh Okogie,HOU,Wing,SG,3.1 ,274,"$2,296,274 ","$3,997,471 ","$1,701,197 "
Kyshawn George,WAS,Forward,PF,3.1 ,275,"$2,966,760 ","$3,997,471 ","$1,030,711 "
Collin Murray-Boyles,TOR,Forward,PF,3.1 ,276,"$6,332,520 ","$3,997,471 ","($2,335,049)"
Taylor Hendricks,UTA,Forward,SF,3.1 ,277,"$6,127,080 ","$3,997,471 ","($2,129,609)"
Kyle Kuzma,MIL,Forward,SF,3.1 ,278,"$22,410,605 ","$3,738,741 ","($18,671,864)"
Anthony Black,ORL,Combo,PG,3.1 ,279,"$7,970,280 ","$3,738,741 ","($4,231,539)"
Ben Sheppard,IND,Wing,SG,3.1 ,280,"$2,790,720 ","$3,738,741 ","$948,021 "
Josh Green,CHA,Wing,SF,3.1 ,281,"$13,666,667 ","$3,738,741 ","($9,927,926)"
Jaxson Hayes,LAL,Center,C,3.0 ,282,"$3,449,323 ","$3,491,403 ","$42,080 "
Bub Carrington,WAS,Point,PG,3.0 ,283,"$4,677,600 ","$3,491,403 ","($1,186,197)"
Caleb Martin,DAL,Wing,SF,3.0 ,284,"$9,594,044 ","$3,491,403 ","($6,102,641)"
Simone Fontecchio,MIA,Forward,SF,3.0 ,285,"$8,307,692 ","$3,491,403 ","($4,816,289)"
Sandro Mamukelashvili,TOR,Big,C,3.0 ,286,"$2,461,463 ","$3,491,403 ","$1,029,940 "
Brandon Williams,DAL,Point,PG,3.0 ,287,"$2,270,735 ","$3,491,403 ","$1,220,668 "
John Konchar,MEM,Wing,SF,3.0 ,288,"$6,165,000 ","$3,491,403 ","($2,673,597)"
Cedric Coward,MEM,Wing,SF,3.0 ,289,"$5,715,120 ","$3,491,403 ","($2,223,717)"
Dalton Knecht,LAL,Wing,SF,3.0 ,290,"$4,010,160 ","$3,491,403 ","($518,757)"
Eric Gordon,PHI,Wing,SG,3.0 ,291,"$2,296,274 ","$3,491,403 ","$1,195,129 "
Jaylen Clark,MIN,Wing,SG,2.9 ,292,"$2,191,897 ","$3,255,320 ","$1,063,423 "
Kevin Love,UTA,Big,C,2.9 ,293,"$4,150,000 ","$3,255,320 ","($894,680)"
Jarace Walker,IND,Forward,PF,2.9 ,294,"$6,665,520 ","$3,255,320 ","($3,410,200)"
Vince Williams Jr.,MEM,Wing,SG,2.9 ,295,"$2,301,587 ","$3,255,320 ","$953,733 "
Tristan da Silva,ORL,Forward,PF,2.9 ,296,"$3,809,520 ","$3,030,337 ","($779,183)"
Kyle Lowry,PHI,Point,PG,2.9 ,297,"$2,296,274 ","$3,030,337 ","$734,063 "
Terry Rozier,MIA,Point,PG,2.9 ,298,"$26,643,031 ","$3,030,337 ","($23,612,694)"
Mouhamed Gueye,ATL,Big,PF,2.9 ,300,"$2,221,677 ","$3,030,337 ","$808,660 "
Ja'Kobe Walter,TOR,Combo,SG,2.9 ,301,"$3,638,160 ","$3,030,337 ","($607,823)"
Reed Sheppard,HOU,Combo,PG,2.9 ,302,"$10,603,560 ","$3,030,337 ","($7,573,223)"
Collin Gillespie,PHX,Point,PG,2.8 ,306,"$2,296,274 ","$2,816,280 ","$520,006 "
Patrick Williams,CHI,Forward,PF,2.8 ,307,"$18,000,000 ","$2,816,280 ","($15,183,720)"
Javonte Green,DET,Wing,SF,2.8 ,308,"$2,296,274 ","$2,816,280 ","$520,006 "
Jeremiah Fears,NOP,Combo,PG,2.8 ,309,"$7,520,040 ","$2,816,280 ","($4,703,760)"
Ajay Mitchell,OKC,Combo,PG,2.8 ,310,"$3,000,000 ","$2,816,280 ","($183,720)"
Ryan Rollins,MIL,Point,PG,2.7 ,312,"$4,000,000 ","$2,612,956 ","($1,387,044)"
Gabe Vincent,LAL,Combo,PG,2.7 ,313,"$11,500,000 ","$2,612,956 ","($8,887,044)"
Yves Missi,NOP,Center,C,2.7 ,314,"$3,353,040 ","$2,612,956 ","($740,084)"
Ronald Holland II,DET,Forward,PF,2.7 ,315,"$8,657,280 ","$2,612,956 ","($6,044,324)"
Terrence Shannon Jr.,MIN,Wing,SF,2.7 ,316,"$2,674,080 ","$2,612,956 ","($61,124)"
Isaiah Collier,UTA,Point,PG,2.7 ,317,"$2,638,200 ","$2,612,956 ","($25,244)"
Trendon Watford,PHI,Forward,PF,2.7 ,318,"$2,461,463 ","$2,612,956 ","$151,493 "
Jae'Sean Tate,HOU,Forward,PF,2.7 ,319,"$2,296,274 ","$2,612,956 ","$316,682 "
Justin Edwards,PHI,Forward,SF,2.7 ,320,"$2,048,494 ","$2,612,956 ","$564,462 "
Carter Bryant,SAS,Forward,PF,2.7 ,321,"$4,900,320 ","$2,420,154 ","($2,480,166)"
Khaman Maluach,PHX,Center,C,2.7 ,323,"$6,016,080 ","$2,420,154 ","($3,595,926)"
Gary Harris,MIL,Wing,SG,2.7 ,324,"$3,634,153 ","$2,420,154 ","($1,213,999)"
Karlo Matković,NOP,Big,C,2.6 ,325,"$1,955,377 ","$2,237,646 ","$282,269 "
Noa Essengue,CHI,Forward,PF,2.6 ,326,"$5,429,520 ","$2,237,646 ","($3,191,874)"
Lindy Waters III,SAS,Wing,SG,2.6 ,327,"$2,296,274 ","$2,237,646 ","($58,628)"
Egor Dëmin,BKN,Combo,PG,2.6 ,328,"$6,889,200 ","$2,237,646 ","($4,651,554)"
Dru Smith,MIA,Combo,PG,2.6 ,329,"$2,378,870 ","$2,237,646 ","($141,224)"
Devin Carter,SAC,Combo,PG,2.5 ,330,"$4,923,720 ","$2,065,190 ","($2,858,530)"
Derik Queen,NOP,Big,C,2.5 ,331,"$5,157,960 ","$2,065,190 ","($3,092,770)"
Walter Clayton Jr.,UTA,Combo,PG,2.5 ,332,"$3,991,320 ","$2,065,190 ","($1,926,130)"
Jalen Wilson,BKN,Forward,SF,2.5 ,333,"$2,221,677 ","$2,065,190 ","($156,487)"
Jevon Carter,CHI,Combo,PG,2.5 ,334,"$6,809,524 ","$2,065,190 ","($4,744,334)"
Mason Plumlee,CHA,Center,C,2.5 ,335,"$2,296,274 ","$2,065,190 ","($231,084)"
Pelle Larsson,MIA,Wing,SG,2.5 ,336,"$1,955,378 ","$2,065,190 ","$109,812 "
Jabari Walker,PHI,Big,PF,2.5 ,337,"$636,435 ","$2,065,190 ","$1,428,755 "
Jock Landale,MEM,Center,C,2.5 ,338,"$2,296,274 ","$1,902,527 ","($393,747)"
Rob Dillingham,MIN,Point,PG,2.5 ,339,"$6,576,120 ","$1,902,527 ","($4,673,593)"
GG Jackson,MEM,Forward,PF,2.5 ,340,"$2,221,677 ","$1,902,527 ","($319,150)"
Luka Garza,BOS,Center,C,2.5 ,341,"$2,461,463 ","$1,902,527 ","($558,936)"
Gui Santos,GSW,Forward,SF,2.5 ,342,"$2,221,677 ","$1,902,527 ","($319,150)"
Noah Clowney,BKN,Big,PF,2.5 ,343,"$3,398,640 ","$1,902,527 ","($1,496,113)"
Cam Spencer,MEM,Combo,SG,2.5 ,344,"$2,537,989 ","$1,902,527 ","($635,462)"
Duop Reath,POR,Center,C,2.5 ,346,"$2,221,677 ","$1,902,527 ","($319,150)"
Marvin Bagley III,WAS,Big,C,2.5 ,347,"$2,296,274 ","$1,902,527 ","($393,747)"
Jonathan Mogbo,TOR,Big,PF,2.4 ,348,"$1,955,377 ","$1,749,386 ","($205,991)"
Nique Clifford,SAC,Wing,SF,2.4 ,349,"$3,108,120 ","$1,749,386 ","($1,358,734)"
Jamal Shead,TOR,Point,PG,2.4 ,350,"$1,955,377 ","$1,749,386 ","($205,991)"
Svi Mykhailiuk,UTA,Wing,SG,2.4 ,351,"$3,675,000 ","$1,749,386 ","($1,925,614)"
Julian Strawther,DEN,Wing,SG,2.4 ,352,"$2,674,200 ","$1,749,386 ","($924,814)"
Jordan Goodwin,PHX,Combo,PG,2.4 ,353,"$2,349,578 ","$1,749,386 ","($600,192)"
Kris Murray,POR,Forward,SF,2.4 ,355,"$3,132,000 ","$1,749,386 ","($1,382,614)"
DaRon Holmes II,DEN,Big,PF,2.4 ,356,"$3,218,760 ","$1,749,386 ","($1,469,374)"
Tyrese Martin,BKN,Wing,SG,2.3 ,357,"$2,191,897 ","$1,605,482 ","($586,415)"
Oso Ighodaro,PHX,Center,C,2.3 ,358,"$1,955,377 ","$1,605,482 ","($349,895)"
Jordan Hawkins,NOP,Wing,SG,2.3 ,359,"$4,741,320 ","$1,605,482 ","($3,135,838)"
A.J. Lawson,TOR,Wing,SF,2.3 ,360,"$2,270,735 ","$1,605,482 ","($665,253)"
Nikola Topić,OKC,Point,PG,2.3 ,361,"$5,182,920 ","$1,605,482 ","($3,577,438)"
Asa Newell,ATL,Forward,PF,2.3 ,362,"$3,237,480 ","$1,605,482 ","($1,631,998)"
Josh Minott,BOS,Forward,PF,2.3 ,363,"$2,378,870 ","$1,605,482 ","($773,388)"
Joan Beringer,MIN,Center,C,2.3 ,364,"$4,201,080 ","$1,470,523 ","($2,730,557)"
Baylor Scheierman,BOS,Wing,SG,2.3 ,365,"$2,619,000 ","$1,470,523 ","($1,148,477)"
Kasparas Jakučionis,MIA,Point,PG,2.3 ,366,"$3,658,800 ","$1,470,523 ","($2,188,277)"
Jaden Hardy,DAL,Combo,SG,2.3 ,367,"$6,000,000 ","$1,470,523 ","($4,529,477)"
Julian Phillips,CHI,Forward,PF,2.3 ,368,"$2,221,677 ","$1,470,523 ","($751,154)"
Andre Jackson Jr.,MIL,Wing,SG,2.2 ,370,"$2,221,677 ","$1,344,202 ","($877,475)"
Jeff Green,HOU,Big,PF,2.2 ,371,"$2,296,274 ","$1,344,202 ","($952,072)"
Thomas Sorber,OKC,Center,C,2.2 ,372,"$4,655,040 ","$1,344,202 ","($3,310,838)"
Jordan McLaughlin,SAS,Combo,PG,2.2 ,373,"$2,296,274 ","$1,344,202 ","($952,072)"
Jase Richardson,ORL,Combo,SG,2.2 ,374,"$2,983,320 ","$1,344,202 ","($1,639,118)"
Craig Porter Jr.,CLE,Combo,PG,2.1 ,375,"$2,221,677 ","$1,226,207 ","($995,470)"
Jalen Pickett,DEN,Combo,PG,2.1 ,376,"$2,221,677 ","$1,226,207 ","($995,470)"
Jamison Battle,TOR,Forward,SF,2.1 ,377,"$1,955,377 ","$1,226,207 ","($729,170)"
Rasheer Fleming,PHX,Forward,PF,2.1 ,378,"$1,272,870 ","$1,226,207 ","($46,663)"
Tidjane Salaün,CHA,Big,PF,2.1 ,379,"$7,863,240 ","$1,116,219 ","($6,747,021)"
Dwight Powell,DAL,Center,C,2.1 ,380,"$4,000,000 ","$1,116,219 ","($2,883,781)"
Doug McDermott,SAC,Forward,SF,2.1 ,381,"$2,296,274 ","$1,116,219 ","($1,180,055)"
Drew Eubanks,SAC,Center,C,2.1 ,382,"$2,296,274 ","$1,116,219 ","($1,180,055)"
Pat Connaughton,CHA,Wing,SF,2.1 ,383,"$9,423,869 ","$1,116,219 ","($8,307,650)"
Danny Wolf,BKN,Big,PF,2.1 ,384,"$2,801,280 ","$1,116,219 ","($1,685,061)"
Malaki Branham,WAS,Wing,SG,2.0 ,386,"$4,962,033 ","$1,013,912 ","($3,948,121)"
Tony Bradley,IND,Center,C,2.0 ,387,"$2,940,876 ","$1,013,912 ","($1,926,964)"
Adem Bona,PHI,Center,C,2.0 ,388,"$1,955,377 ","$1,013,912 ","($941,465)"
Johnny Furphy,IND,Wing,SF,2.0 ,389,"$1,955,377 ","$1,013,912 ","($941,465)"
Ben Saraf,BKN,Combo,PG,2.0 ,390,"$2,884,560 ","$1,013,912 ","($1,870,648)"
Nigel Hayes-Davis,PHX,Forward,SF,1.9 ,392,"$2,048,494 ","$918,956 ","($1,129,538)"
Keaton Wallace,ATL,Point,PG,1.9 ,394,"$636,435 ","$918,956 ","$282,521 "
Dalen Terry,CHI,Wing,SF,1.9 ,395,"$5,399,118 ","$918,956 ","($4,480,162)"
Zeke Nnaji,DEN,Big,C,1.9 ,396,"$8,177,778 ","$918,956 ","($7,258,822)"
Xavier Tillman,BOS,Big,C,1.9 ,397,"$2,546,675 ","$918,956 ","($1,627,719)"
Liam McNeeley,CHA,Forward,SF,1.9 ,398,"$2,763,960 ","$918,956 ","($1,845,004)"
Ryan Kalkbrenner,CHA,Center,C,1.9 ,399,"$2,296,274 ","$918,956 ","($1,377,318)"
Ousmane Dieng,OKC,Big,PF,1.9 ,402,"$6,670,882 ","$831,019 ","($5,839,863)"
Will Riley,WAS,Wing,SF,1.9 ,403,"$3,512,520 ","$831,019 ","($2,681,501)"
Johni Broome,PHI,Big,C,1.9 ,404,"$1,272,870 ","$831,019 ","($441,851)"
Jericho Sims,MIL,Center,C,1.8 ,405,"$2,461,463 ","$749,768 ","($1,711,695)"
Blake Wesley,POR,Combo,SG,1.8 ,406,"$2,296,274 ","$749,768 ","($1,546,506)"
Tyler Kolek,NYK,Point,PG,1.8 ,407,"$2,191,897 ","$749,768 ","($1,442,129)"
Drake Powell,BKN,Wing,SG,1.8 ,408,"$3,372,240 ","$749,768 ","($2,622,472)"
Nolan Traore,BKN,Point,PG,1.8 ,409,"$3,811,560 ","$749,768 ","($3,061,792)"
Kobe Bufkin,BKN,Point,PG,1.7 ,410,"$4,503,720 ","$674,869 ","($3,828,851)"
Drew Timme,BKN,Center,C,1.7 ,411,"$1,955,377 ","$674,869 ","($1,280,508)"
Kam Jones,IND,Combo,SG,1.7 ,412,"$1,272,870 ","$674,869 ","($598,001)"
Sion James,CHA,Combo,SG,1.7 ,413,"$2,296,274 ","$605,990 ","($1,690,284)"
Noah Penda,ORL,Forward,SF,1.7 ,414,"$1,272,870 ","$605,990 ","($666,880)"
Jordan Walsh,BOS,Wing,SF,1.7 ,415,"$2,221,677 ","$605,990 ","($1,615,687)"
Adou Thiero,LAL,Forward,PF,1.7 ,416,"$1,272,870 ","$605,990 ","($666,880)"
Dario Šarić,SAC,Center,C,1.7 ,417,"$5,426,400 ","$605,990 ","($4,820,410)"
Kobe Brown,LAC,Big,PF,1.7 ,418,"$2,654,880 ","$605,990 ","($2,048,890)"
Jett Howard,ORL,Wing,SF,1.7 ,419,"$5,529,720 ","$605,990 ","($4,923,730)"
Christian Koloko,LAL,Center,C,1.7 ,420,"$636,435 ","$605,990 ","($30,445)"
Maxi Kleber,LAL,Big,C,1.7 ,421,"$11,000,000 ","$605,990 ","($10,394,010)"
Hugo González,BOS,Wing,SG,1.6 ,422,"$2,783,880 ","$542,800 ","($2,241,080)"
Chaz Lanier,DET,Wing,SG,1.6 ,423,"$1,272,870 ","$542,800 ","($730,070)"
Dillon Jones,WAS,Forward,PF,1.6 ,424,"$2,753,280 ","$542,800 ","($2,210,480)"
Maxime Raynaud,SAC,Center,C,1.6 ,425,"$1,272,870 ","$542,800 ","($730,070)"
James Wiseman,IND,Center,C,1.6 ,426,"$2,667,947 ","$542,800 ","($2,125,147)"
Cody Williams,UTA,Wing,SF,1.6 ,427,"$5,742,480 ","$542,800 ","($5,199,680)"
Dariq Whitehead,BKN,Forward,SF,1.6 ,428,"$3,262,560 ","$542,800 ","($2,719,760)"
Yanic Konan Niederhäuser,LAC,Center,C,1.5 ,429,"$2,743,800 ","$484,975 ","($2,258,825)"
Isaac Jones,SAC,Big,PF,1.5 ,430,"$1,955,377 ","$484,975 ","($1,470,402)"
Jaylon Tyson,CLE,Forward,SF,1.5 ,431,"$3,492,480 ","$484,975 ","($3,007,505)"
AJ Johnson,WAS,Combo,PG,1.5 ,432,"$3,090,480 ","$484,975 ","($2,605,505)"
Rayan Rupert,POR,Combo,SG,1.5 ,433,"$2,221,677 ","$432,194 ","($1,789,483)"
Nikola Đurišić,ATL,Forward,SF,1.4 ,434,"$1,272,870 ","$384,141 ","($888,729)"
Tyler Smith,MIL,Big,PF,1.4 ,435,"$1,955,377 ","$384,141 ","($1,571,236)"
Keshad Johnson,MIA,Forward,PF,1.4 ,436,"$1,955,377 ","$384,141 ","($1,571,236)"
Leonard Miller,MIN,Big,PF,1.3 ,437,"$2,221,677 ","$340,511 ","($1,881,166)"
Hunter Tyson,DEN,Forward,SF,1.3 ,438,"$2,221,677 ","$340,511 ","($1,881,166)"
N'Faly Dante,ATL,Center,C,1.3 ,439,"$2,048,494 ","$340,511 ","($1,707,983)"
Pacôme Dadiet,NYK,Forward,SF,1.3 ,440,"$2,847,600 ","$340,511 ","($2,507,089)"
Joe Ingles,MIN,Forward,SF,1.3 ,441,"$2,296,274 ","$340,511 ","($1,955,763)"
Micah Peavy,NOP,Wing,SF,1.3 ,442,"$1,272,870 ","$301,004 ","($971,866)"
Tyrese Proctor,CLE,Combo,SG,1.3 ,443,"$1,272,870 ","$301,004 ","($971,866)"
Bronny James,LAL,Wing,SG,1.2 ,444,"$1,955,377 ","$265,331 ","($1,690,046)"
Ariel Hukporti,NYK,Center,C,1.2 ,445,"$1,955,377 ","$265,331 ","($1,690,046)"
Anthony Gill,WAS,Big,PF,1.2 ,446,"$2,296,274 ","$265,331 ","($2,030,943)"
Garrett Temple,TOR,Combo,SG,1.2 ,447,"$2,296,274 ","$265,331 ","($2,030,943)"
Cam Christie,LAC,Wing,SF,1.1 ,448,"$1,955,377 ","$233,210 ","($1,722,167)"
Bobi Klintman,DET,Forward,PF,1.1 ,449,"$1,955,377 ","$233,210 ","($1,722,167)"
Chris Livingston,MIL,Forward,PF,1.1 ,450,"$2,296,274 ","$204,373 ","($2,091,901)"
