PLAYER,TEAM,POS,POS2,評分,排名,真實薪水,評估薪水,Diff
Jalen Johnson,ATL,Forward,PF,6.5 ,58,"$30,000,000 ","$28,949,653 ","($1,050,347)"
Aaron Gordon,DEN,Big,PF,6.5 ,59,"$22,841,455 ","$28,949,653 ","$6,108,198 "
Mikal Bridges,NYK,Wing,SG,6.5 ,60,"$24,900,000 ","$28,949,653 ","$4,049,653 "
Myles Turner,MIL,Center,C,6.4 ,61,"$25,318,251 ","$28,331,999 ","$3,013,748 "
Deni Avdija,POR,Forward,PF,6.3 ,62,"$14,375,000 ","$27,713,831 ","$13,338,831 "
Cameron Johnson,DEN,Forward,SF,6.3 ,63,"$21,057,065 ","$27,713,831 ","$6,656,766 "
Zach LaVine,SAC,Wing,SG,6.3 ,64,"$47,499,660 ","$27,713,831 ","($19,785,829)"
Trey Murphy III,NOP,Forward,SF,6.3 ,65,"$25,000,000 ","$27,095,456 ","$2,095,456 "
Isaiah Hartenstein,OKC,Center,C,6.3 ,66,"$28,500,000 ","$27,095,456 ","($1,404,544)"
Draymond Green,GSW,Big,PF,6.1 ,67,"$25,892,857 ","$25,859,360 ","($33,497)"
Norman Powell,MIA,Wing,SG,6.1 ,68,"$20,482,758 ","$25,859,360 ","$5,376,602 "
Dyson Daniels,ATL,Wing,SG,6.1 ,69,"$7,707,709 ","$25,242,291 ","$17,534,582 "
DeMar DeRozan,SAC,Forward,SF,6.1 ,70,"$24,750,000 ","$25,242,291 ","$492,291 "
Dejounte Murray,NOP,Point,PG,6.1 ,71,"$30,801,103 ","$25,242,291 ","($5,558,812)"
Brandon Ingram,TOR,Forward,SF,6.0 ,72,"$38,095,238 ","$24,626,321 ","($13,468,917)"
Michael Porter Jr.,BKN,Forward,SF,6.0 ,73,"$38,333,050 ","$24,626,321 ","($13,706,729)"
Nikola Vučević,CHI,Center,C,5.9 ,74,"$21,481,481 ","$24,011,791 ","$2,530,310 "
Jrue Holiday,POR,Combo,PG,5.9 ,75,"$32,400,000 ","$24,011,791 ","($8,388,209)"
Josh Hart,NYK,Forward,SF,5.9 ,76,"$19,472,240 ","$24,011,791 ","$4,539,551 "
Walker Kessler,UTA,Center,C,5.9 ,77,"$4,878,938 ","$24,011,791 ","$19,132,853 "
Jakob Poeltl,TOR,Center,C,5.9 ,78,"$19,500,000 ","$24,011,791 ","$4,511,791 "
Brandon Miller,CHA,Forward,SF,5.9 ,79,"$11,968,800 ","$24,011,791 ","$12,042,991 "
Miles Bridges,CHA,Forward,PF,5.9 ,80,"$25,000,000 ","$24,011,791 ","($988,209)"
Josh Giddey,CHI,Point,PG,5.9 ,81,"$25,000,000 ","$23,399,049 ","($1,600,951)"
Alex Caruso,OKC,Forward,SF,5.9 ,82,"$18,102,000 ","$23,399,049 ","$5,297,049 "
Cooper Flagg,DAL,Forward,SF,5.9 ,83,"$13,825,920 ","$23,399,049 ","$9,573,129 "
CJ McCollum,WAS,Combo,SG,5.8 ,84,"$30,666,666 ","$22,788,448 ","($7,878,218)"
Andrew Wiggins,MIA,Forward,SF,5.8 ,85,"$28,223,215 ","$22,788,448 ","($5,434,767)"
Immanuel Quickley,TOR,Point,PG,5.8 ,86,"$32,500,000 ","$22,788,448 ","($9,711,552)"
Aaron Nesmith,IND,Forward,SF,5.7 ,87,"$11,000,000 ","$22,180,344 ","$11,180,344 "
Jalen Suggs,ORL,Point,PG,5.7 ,88,"$35,000,000 ","$22,180,344 ","($12,819,656)"
Jaden McDaniels,MIN,Forward,SF,5.7 ,89,"$24,393,103 ","$22,180,344 ","($2,212,759)"
John Collins,LAC,Big,PF,5.7 ,90,"$26,580,000 ","$22,180,344 ","($4,399,656)"
Coby White,CHI,Combo,SG,5.7 ,91,"$12,888,889 ","$22,180,344 ","$9,291,455 "
