Rank,PLAYER,TEAM,POS,POS',評分,真實薪水,評估薪水,差額
59,Aaron Gordon,DEN,PF,Big,6.5 ,"$22,841,455 ","$28,949,653 ","$6,108,198"
60,Mikal Bridges,NYK,SG,Wing,6.5 ,"$24,900,000 ","$28,949,653 ","$4,049,653"
61,Myles Turner,MIL,C,Center,6.4 ,"$25,318,251 ","$28,331,999 ","$3,013,748"
62,Deni Avdija,POR,PF,Forward,6.3 ,"$14,375,000 ","$27,713,831 ","$13,338,831"
63,Cameron Johnson,DEN,SF,Forward,6.3 ,"$21,057,065 ","$27,713,831 ","$6,656,766"
64,Zach LaVine,SAC,SG,Wing,6.3 ,"$47,499,660 ","$27,713,831 ","-$19,785,829"
65,Trey Murphy III,NOP,SF,Forward,6.3 ,"$25,000,000 ","$27,095,456 ","$2,095,456"
66,Isaiah Hartenstein,OKC,C,Center,6.3 ,"$28,500,000 ","$27,095,456 ","-$1,404,544"
67,Draymond Green,GSW,PF,Big,6.1 ,"$25,892,857 ","$25,859,360 ","-$33,497"
68,Norman Powell,MIA,SG,Wing,6.1 ,"$20,482,758 ","$25,859,360 ","$5,376,602"
69,Dyson Daniels,ATL,SG,Wing,6.1 ,"$7,707,709 ","$25,242,291 ","$17,534,582"
70,DeMar DeRozan,SAC,SF,Forward,6.1 ,"$24,750,000 ","$25,242,291 ","$492,291"
71,Dejounte Murray,NOP,PG,Point,6.1 ,"$30,801,103 ","$25,242,291 ","-$5,558,812"
72,Brandon Ingram,TOR,SF,Forward,6.0 ,"$38,095,238 ","$24,626,321 ","-$13,468,917"
73,Michael Porter Jr.,BKN,SF,Forward,6.0 ,"$38,333,050 ","$24,626,321 ","-$13,706,729"
74,Nikola Vučević,CHI,C,Center,5.9 ,"$21,481,481 ","$24,011,791 ","$2,530,310"
75,Jrue Holiday,POR,PG,Combo,5.9 ,"$32,400,000 ","$24,011,791 ","-$8,388,209"
76,Josh Hart,NYK,SF,Forward,5.9 ,"$19,472,240 ","$24,011,791 ","$4,539,551"
77,Walker Kessler,UTA,C,Center,5.9 ,"$4,878,938 ","$24,011,791 ","$19,132,853"
78,Jakob Poeltl,TOR,C,Center,5.9 ,"$19,500,000 ","$24,011,791 ","$4,511,791"
79,Brandon Miller,CHA,SF,Forward,5.9 ,"$11,968,800 ","$24,011,791 ","$12,042,991"
80,Miles Bridges,CHA,PF,Forward,5.9 ,"$25,000,000 ","$24,011,791 ","-$988,209"
81,Josh Giddey,CHI,PG,Point,5.9 ,"$25,000,000 ","$23,399,049 ","-$1,600,951"
82,Alex Caruso,OKC,SF,Forward,5.9 ,"$18,102,000 ","$23,399,049 ","$5,297,049"
83,Cooper Flagg,DAL,SF,Forward,5.9 ,"$13,825,920 ","$23,399,049 ","$9,573,129"
84,CJ McCollum,WAS,SG,Combo,5.8 ,"$30,666,666 ","$22,788,448 ","-$7,878,218"
85,Andrew Wiggins,MIA,SF,Forward,5.8 ,"$28,223,215 ","$22,788,448 ","-$5,434,767"
86,Immanuel Quickley,TOR,PG,Point,5.8 ,"$32,500,000 ","$22,788,448 ","-$9,711,552"
87,Aaron Nesmith,IND,SF,Forward,5.7 ,"$11,000,000 ","$22,180,344 ","$11,180,344"
88,Jalen Suggs,ORL,PG,Point,5.7 ,"$35,000,000 ","$22,180,344 ","-$12,819,656"
89,Jaden McDaniels,MIN,SF,Forward,5.7 ,"$24,393,103 ","$22,180,344 ","-$2,212,759"
90,John Collins,LAC,PF,Big,5.7 ,"$26,580,000 ","$22,180,344 ","-$4,399,656"
91,Coby White,CHI,SG,Combo,5.7 ,"$12,888,889 ","$22,180,344 ","$9,291,455"
92,Christian Braun,DEN,SG,Wing,5.7 ,"$4,921,797 ","$21,575,097 ","$16,653,300"
93,Dereck Lively II,DAL,C,Center,5.7 ,"$5,253,360 ","$21,575,097 ","$16,321,737"
94,Payton Pritchard,BOS,PG,Point,5.6 ,"$7,232,143 ","$20,973,072 ","$13,740,929"
95,Al Horford,GSW,C,Big,5.6 ,"$5,685,000 ","$20,973,072 ","$15,288,072"
96,Andrew Nembhard,IND,SG,Combo,5.5 ,"$18,102,000 ","$20,374,635 ","$2,272,635"
97,Daniel Gafford,DAL,C,Center,5.5 ,"$14,386,320 ","$20,374,635 ","$5,988,315"
98,Jordan Poole,NOP,SG,Combo,5.5 ,"$31,848,215 ","$20,374,635 ","-$11,473,580"
99,Jalen Duren,DET,C,Center,5.5 ,"$6,483,144 ","$19,780,155 ","$13,297,011"
100,Naz Reid,MIN,PF,Big,5.5 ,"$21,551,724 ","$19,780,155 ","-$1,771,569"
101,Tobias Harris,DET,PF,Forward,5.5 ,"$26,634,146 ","$19,780,155 ","-$6,853,991"
102,Keegan Murray,SAC,PF,Forward,5.5 ,"$11,144,093 ","$19,780,155 ","$8,636,062"
103,Ausar Thompson,DET,SF,Forward,5.4 ,"$8,775,000 ","$19,190,001 ","$10,415,001"
104,Toumani Camara,POR,SF,Forward,5.4 ,"$2,221,677 ","$19,190,001 ","$16,968,324"
105,Tari Eason,HOU,SF,Forward,5.4 ,"$5,675,766 ","$19,190,001 ","$13,514,235"
106,Brandin Podziemski,GSW,SG,Combo,5.4 ,"$3,687,960 ","$19,190,001 ","$15,502,041"
107,De'Andre Hunter,CLE,SF,Forward,5.4 ,"$23,303,571 ","$19,190,001 ","-$4,113,570"
