Rank,PLAYER,TEAM,POS,POS',評分,真實薪水,評估薪水,差額
257,Isaiah Jackson,IND,C,Center,3.3 ,"$7,600,000 ","$4,843,050 ","-$2,756,950"
258,Georges Niang,UTA,PF,Forward,3.3 ,"$8,200,000 ","$4,549,542 ","-$3,650,458"
259,Kyle Anderson,UTA,PF,Big,3.3 ,"$9,219,512 ","$4,549,542 ","-$4,669,970"
260,Ryan Dunn,PHX,PF,Forward,3.3 ,"$2,657,760 ","$4,549,542 ","$1,891,782"
261,Marcus Sasser,DET,PG,Combo,3.3 ,"$2,886,720 ","$4,549,542 ","$1,662,822"
262,Nick Richards,PHX,C,Center,3.3 ,"$5,000,000 ","$4,549,542 ","-$450,458"
263,Trayce Jackson-Davis,GSW,C,Center,3.3 ,"$2,221,677 ","$4,549,542 ","$2,327,865"
264,Jaime Jaquez Jr.,MIA,SF,Forward,3.3 ,"$3,861,600 ","$4,549,542 ","$687,942"
265,Brice Sensabaugh,UTA,SF,Forward,3.2 ,"$2,693,760 ","$4,267,707 ","$1,573,947"
266,Corey Kispert,WAS,SG,Wing,3.2 ,"$13,975,000 ","$4,267,707 ","-$9,707,293"
267,Neemias Queta,BOS,C,Center,3.2 ,"$2,349,578 ","$4,267,707 ","$1,918,129"
268,Peyton Watson,DEN,PF,Forward,3.2 ,"$4,356,476 ","$4,267,707 ","-$88,769"
269,Moussa Diabaté,CHA,C,Center,3.2 ,"$2,270,735 ","$4,267,707 ","$1,996,972"
270,Jarred Vanderbilt,LAL,PF,Big,3.1 ,"$11,571,429 ","$3,997,471 ","-$7,573,958"
271,Aaron Holiday,HOU,PG,Combo,3.1 ,"$2,296,274 ","$3,997,471 ","$1,701,197"
272,Terance Mann,BKN,SG,Wing,3.1 ,"$15,500,000 ","$3,997,471 ","-$11,502,529"
273,Andre Drummond,PHI,C,Center,3.1 ,"$5,000,000 ","$3,997,471 ","-$1,002,529"
274,Josh Okogie,HOU,SG,Wing,3.1 ,"$2,296,274 ","$3,997,471 ","$1,701,197"
275,Kyshawn George,WAS,PF,Forward,3.1 ,"$2,966,760 ","$3,997,471 ","$1,030,711"
276,Collin Murray-Boyles,TOR,PF,Forward,3.1 ,"$6,332,520 ","$3,997,471 ","-$2,335,049"
277,Taylor Hendricks,UTA,SF,Forward,3.1 ,"$6,127,080 ","$3,997,471 ","-$2,129,609"
278,Kyle Kuzma,MIL,SF,Forward,3.1 ,"$22,410,605 ","$3,738,741 ","-$18,671,864"
279,Anthony Black,ORL,PG,Combo,3.1 ,"$7,970,280 ","$3,738,741 ","-$4,231,539"
280,Ben Sheppard,IND,SG,Wing,3.1 ,"$2,790,720 ","$3,738,741 ","$948,021"
281,Josh Green,CHA,SF,Wing,3.1 ,"$13,666,667 ","$3,738,741 ","-$9,927,926"
282,Jaxson Hayes,LAL,C,Center,3.0 ,"$3,449,323 ","$3,491,403 ","$42,080"
283,Bub Carrington,WAS,PG,Point,3.0 ,"$4,677,600 ","$3,491,403 ","-$1,186,197"
284,Caleb Martin,DAL,SF,Wing,3.0 ,"$9,594,044 ","$3,491,403 ","-$6,102,641"
285,Simone Fontecchio,MIA,SF,Forward,3.0 ,"$8,307,692 ","$3,491,403 ","-$4,816,289"
286,Sandro Mamukelashvili,TOR,C,Big,3.0 ,"$2,461,463 ","$3,491,403 ","$1,029,940"
287,Brandon Williams,DAL,PG,Point,3.0 ,"$2,270,735 ","$3,491,403 ","$1,220,668"
288,John Konchar,MEM,SF,Wing,3.0 ,"$6,165,000 ","$3,491,403 ","-$2,673,597"
289,Cedric Coward,MEM,SF,Wing,3.0 ,"$5,715,120 ","$3,491,403 ","-$2,223,717"
290,Dalton Knecht,LAL,SF,Wing,3.0 ,"$4,010,160 ","$3,491,403 ","-$518,757"
291,Eric Gordon,PHI,SG,Wing,3.0 ,"$2,296,274 ","$3,491,403 ","$1,195,129"
292,Jaylen Clark,MIN,SG,Wing,2.9 ,"$2,191,897 ","$3,255,320 ","$1,063,423"
293,Kevin Love,UTA,C,Big,2.9 ,"$4,150,000 ","$3,255,320 ","-$894,680"
294,Jarace Walker,IND,PF,Forward,2.9 ,"$6,665,520 ","$3,255,320 ","-$3,410,200"
295,Vince Williams Jr.,MEM,SG,Wing,2.9 ,"$2,301,587 ","$3,255,320 ","$953,733"
296,Tristan da Silva,ORL,PF,Forward,2.9 ,"$3,809,520 ","$3,030,337 ","-$779,183"
297,Kyle Lowry,PHI,PG,Point,2.9 ,"$2,296,274 ","$3,030,337 ","$734,063"
298,Terry Rozier,MIA,PG,Point,2.9 ,"$26,643,031 ","$3,030,337 ","-$23,612,694"
300,Mouhamed Gueye,ATL,PF,Big,2.9 ,"$2,221,677 ","$3,030,337 ","$808,660"
301,Ja'Kobe Walter,TOR,SG,Combo,2.9 ,"$3,638,160 ","$3,030,337 ","-$607,823"
302,Reed Sheppard,HOU,PG,Combo,2.9 ,"$10,603,560 ","$3,030,337 ","-$7,573,223"
306,Collin Gillespie,PHX,PG,Point,2.8 ,"$2,296,274 ","$2,816,280 ","$520,006"
307,Patrick Williams,CHI,PF,Forward,2.8 ,"$18,000,000 ","$2,816,280 ","-$15,183,720"
308,Javonte Green,DET,SF,Wing,2.8 ,"$2,296,274 ","$2,816,280 ","$520,006"
309,Jeremiah Fears,NOP,PG,Combo,2.8 ,"$7,520,040 ","$2,816,280 ","-$4,703,760"
310,Ajay Mitchell,OKC,PG,Combo,2.8 ,"$3,000,000 ","$2,816,280 ","-$183,720"
312,Ryan Rollins,MIL,PG,Point,2.7 ,"$4,000,000 ","$2,612,956 ","-$1,387,044"
313,Gabe Vincent,LAL,PG,Combo,2.7 ,"$11,500,000 ","$2,612,956 ","-$8,887,044"
314,Yves Missi,NOP,C,Center,2.7 ,"$3,353,040 ","$2,612,956 ","-$740,084"
315,Ronald Holland II,DET,PF,Forward,2.7 ,"$8,657,280 ","$2,612,956 ","-$6,044,324"
316,Terrence Shannon Jr.,MIN,SF,Wing,2.7 ,"$2,674,080 ","$2,612,956 ","-$61,124"
317,Isaiah Collier,UTA,PG,Point,2.7 ,"$2,638,200 ","$2,612,956 ","-$25,244"
318,Trendon Watford,PHI,PF,Forward,2.7 ,"$2,461,463 ","$2,612,956 ","$151,493"
319,Jae'Sean Tate,HOU,PF,Forward,2.7 ,"$2,296,274 ","$2,612,956 ","$316,682"
320,Justin Edwards,PHI,SF,Forward,2.7 ,"$2,048,494 ","$2,612,956 ","$564,462"
321,Carter Bryant,SAS,PF,Forward,2.7 ,"$4,900,320 ","$2,420,154 ","-$2,480,166"
323,Khaman Maluach,PHX,C,Center,2.7 ,"$6,016,080 ","$2,420,154 ","-$3,595,926"
324,Gary Harris,MIL,SG,Wing,2.7 ,"$3,634,153 ","$2,420,154 ","-$1,213,999"
325,Karlo Matković,NOP,C,Big,2.6 ,"$1,955,377 ","$2,237,646 ","$282,269"
326,Noa Essengue,CHI,PF,Forward,2.6 ,"$5,429,520 ","$2,237,646 ","-$3,191,874"
327,Lindy Waters III,SAS,SG,Wing,2.6 ,"$2,296,274 ","$2,237,646 ","-$58,628"
328,Egor Dëmin,BKN,PG,Combo,2.6 ,"$6,889,200 ","$2,237,646 ","-$4,651,554"
329,Dru Smith,MIA,PG,Combo,2.6 ,"$2,378,870 ","$2,237,646 ","-$141,224"
330,Devin Carter,SAC,PG,Combo,2.5 ,"$4,923,720 ","$2,065,190 ","-$2,858,530"
331,Derik Queen,NOP,C,Big,2.5 ,"$5,157,960 ","$2,065,190 ","-$3,092,770"
332,Walter Clayton Jr.,UTA,PG,Combo,2.5 ,"$3,991,320 ","$2,065,190 ","-$1,926,130"
333,Jalen Wilson,BKN,SF,Forward,2.5 ,"$2,221,677 ","$2,065,190 ","-$156,487"
334,Jevon Carter,CHI,PG,Combo,2.5 ,"$6,809,524 ","$2,065,190 ","-$4,744,334"
335,Mason Plumlee,CHA,C,Center,2.5 ,"$2,296,274 ","$2,065,190 ","-$231,084"
336,Pelle Larsson,MIA,SG,Wing,2.5 ,"$1,955,378 ","$2,065,190 ","$109,812"
337,Jabari Walker,PHI,PF,Big,2.5 ,"$636,435 ","$2,065,190 ","$1,428,755"
338,Jock Landale,MEM,C,Center,2.5 ,"$2,296,274 ","$1,902,527 ","-$393,747"
339,Rob Dillingham,MIN,PG,Point,2.5 ,"$6,576,120 ","$1,902,527 ","-$4,673,593"
340,GG Jackson,MEM,PF,Forward,2.5 ,"$2,221,677 ","$1,902,527 ","-$319,150"
341,Luka Garza,BOS,C,Center,2.5 ,"$2,461,463 ","$1,902,527 ","-$558,936"
342,Gui Santos,GSW,SF,Forward,2.5 ,"$2,221,677 ","$1,902,527 ","-$319,150"
343,Noah Clowney,BKN,PF,Big,2.5 ,"$3,398,640 ","$1,902,527 ","-$1,496,113"
344,Cam Spencer,MEM,SG,Combo,2.5 ,"$2,537,989 ","$1,902,527 ","-$635,462"
346,Duop Reath,POR,C,Center,2.5 ,"$2,221,677 ","$1,902,527 ","-$319,150"
347,Marvin Bagley III,WAS,C,Big,2.5 ,"$2,296,274 ","$1,902,527 ","-$393,747"
348,Jonathan Mogbo,TOR,PF,Big,2.4 ,"$1,955,377 ","$1,749,386 ","-$205,991"
349,Nique Clifford,SAC,SF,Wing,2.4 ,"$3,108,120 ","$1,749,386 ","-$1,358,734"
350,Jamal Shead,TOR,PG,Point,2.4 ,"$1,955,377 ","$1,749,386 ","-$205,991"
351,Svi Mykhailiuk,UTA,SG,Wing,2.4 ,"$3,675,000 ","$1,749,386 ","-$1,925,614"
352,Julian Strawther,DEN,SG,Wing,2.4 ,"$2,674,200 ","$1,749,386 ","-$924,814"
353,Jordan Goodwin,PHX,PG,Combo,2.4 ,"$2,349,578 ","$1,749,386 ","-$600,192"
355,Kris Murray,POR,SF,Forward,2.4 ,"$3,132,000 ","$1,749,386 ","-$1,382,614"
356,DaRon Holmes II,DEN,PF,Big,2.4 ,"$3,218,760 ","$1,749,386 ","-$1,469,374"
357,Tyrese Martin,BKN,SG,Wing,2.3 ,"$2,191,897 ","$1,605,482 ","-$586,415"
358,Oso Ighodaro,PHX,C,Center,2.3 ,"$1,955,377 ","$1,605,482 ","-$349,895"
359,Jordan Hawkins,NOP,SG,Wing,2.3 ,"$4,741,320 ","$1,605,482 ","-$3,135,838"
360,A.J. Lawson,TOR,SF,Wing,2.3 ,"$2,270,735 ","$1,605,482 ","-$665,253"
361,Nikola Topić,OKC,PG,Point,2.3 ,"$5,182,920 ","$1,605,482 ","-$3,577,438"
362,Asa Newell,ATL,PF,Forward,2.3 ,"$3,237,480 ","$1,605,482 ","-$1,631,998"
363,Josh Minott,BOS,PF,Forward,2.3 ,"$2,378,870 ","$1,605,482 ","-$773,388"
364,Joan Beringer,MIN,C,Center,2.3 ,"$4,201,080 ","$1,470,523 ","-$2,730,557"
365,Baylor Scheierman,BOS,SG,Wing,2.3 ,"$2,619,000 ","$1,470,523 ","-$1,148,477"
366,Kasparas Jakučionis,MIA,PG,Point,2.3 ,"$3,658,800 ","$1,470,523 ","-$2,188,277"
367,Jaden Hardy,DAL,SG,Combo,2.3 ,"$6,000,000 ","$1,470,523 ","-$4,529,477"
368,Julian Phillips,CHI,PF,Forward,2.3 ,"$2,221,677 ","$1,470,523 ","-$751,154"
370,Andre Jackson Jr.,MIL,SG,Wing,2.2 ,"$2,221,677 ","$1,344,202 ","-$877,475"
371,Jeff Green,HOU,PF,Big,2.2 ,"$2,296,274 ","$1,344,202 ","-$952,072"
372,Thomas Sorber,OKC,C,Center,2.2 ,"$4,655,040 ","$1,344,202 ","-$3,310,838"
373,Jordan McLaughlin,SAS,PG,Combo,2.2 ,"$2,296,274 ","$1,344,202 ","-$952,072"
374,Jase Richardson,ORL,SG,Combo,2.2 ,"$2,983,320 ","$1,344,202 ","-$1,639,118"
375,Craig Porter Jr.,CLE,PG,Combo,2.1 ,"$2,221,677 ","$1,226,207 ","-$995,470"
376,Jalen Pickett,DEN,PG,Combo,2.1 ,"$2,221,677 ","$1,226,207 ","-$995,470"
377,Jamison Battle,TOR,SF,Forward,2.1 ,"$1,955,377 ","$1,226,207 ","-$729,170"
378,Rasheer Fleming,PHX,PF,Forward,2.1 ,"$1,272,870 ","$1,226,207 ","-$46,663"
379,Tidjane Salaün,CHA,PF,Big,2.1 ,"$7,863,240 ","$1,116,219 ","-$6,747,021"
380,Dwight Powell,DAL,C,Center,2.1 ,"$4,000,000 ","$1,116,219 ","-$2,883,781"
381,Doug McDermott,SAC,SF,Forward,2.1 ,"$2,296,274 ","$1,116,219 ","-$1,180,055"
382,Drew Eubanks,SAC,C,Center,2.1 ,"$2,296,274 ","$1,116,219 ","-$1,180,055"
383,Pat Connaughton,CHA,SF,Wing,2.1 ,"$9,423,869 ","$1,116,219 ","-$8,307,650"
384,Danny Wolf,BKN,PF,Big,2.1 ,"$2,801,280 ","$1,116,219 ","-$1,685,061"
386,Malaki Branham,WAS,SG,Wing,2.0 ,"$4,962,033 ","$1,013,912 ","-$3,948,121"
387,Tony Bradley,IND,C,Center,2.0 ,"$2,940,876 ","$1,013,912 ","-$1,926,964"
388,Adem Bona,PHI,C,Center,2.0 ,"$1,955,377 ","$1,013,912 ","-$941,465"
389,Johnny Furphy,IND,SF,Wing,2.0 ,"$1,955,377 ","$1,013,912 ","-$941,465"
390,Ben Saraf,BKN,PG,Combo,2.0 ,"$2,884,560 ","$1,013,912 ","-$1,870,648"
392,Nigel Hayes-Davis,PHX,SF,Forward,1.9 ,"$2,048,494 ","$918,956 ","-$1,129,538"
394,Keaton Wallace,ATL,PG,Point,1.9 ,"$636,435 ","$918,956 ","$282,521"
395,Dalen Terry,CHI,SF,Wing,1.9 ,"$5,399,118 ","$918,956 ","-$4,480,162"
396,Zeke Nnaji,DEN,C,Big,1.9 ,"$8,177,778 ","$918,956 ","-$7,258,822"
397,Xavier Tillman,BOS,C,Big,1.9 ,"$2,546,675 ","$918,956 ","-$1,627,719"
398,Liam McNeeley,CHA,SF,Forward,1.9 ,"$2,763,960 ","$918,956 ","-$1,845,004"
399,Ryan Kalkbrenner,CHA,C,Center,1.9 ,"$2,296,274 ","$918,956 ","-$1,377,318"
402,Ousmane Dieng,OKC,PF,Big,1.9 ,"$6,670,882 ","$831,019 ","-$5,839,863"
403,Will Riley,WAS,SF,Wing,1.9 ,"$3,512,520 ","$831,019 ","-$2,681,501"
404,Johni Broome,PHI,C,Big,1.9 ,"$1,272,870 ","$831,019 ","-$441,851"
405,Jericho Sims,MIL,C,Center,1.8 ,"$2,461,463 ","$749,768 ","-$1,711,695"
406,Blake Wesley,POR,SG,Combo,1.8 ,"$2,296,274 ","$749,768 ","-$1,546,506"
407,Tyler Kolek,NYK,PG,Point,1.8 ,"$2,191,897 ","$749,768 ","-$1,442,129"
408,Drake Powell,BKN,SG,Wing,1.8 ,"$3,372,240 ","$749,768 ","-$2,622,472"
409,Nolan Traore,BKN,PG,Point,1.8 ,"$3,811,560 ","$749,768 ","-$3,061,792"
410,Kobe Bufkin,BKN,PG,Point,1.7 ,"$4,503,720 ","$674,869 ","-$3,828,851"
411,Drew Timme,BKN,C,Center,1.7 ,"$1,955,377 ","$674,869 ","-$1,280,508"
412,Kam Jones,IND,SG,Combo,1.7 ,"$1,272,870 ","$674,869 ","-$598,001"
413,Sion James,CHA,SG,Combo,1.7 ,"$2,296,274 ","$605,990 ","-$1,690,284"
414,Noah Penda,ORL,SF,Forward,1.7 ,"$1,272,870 ","$605,990 ","-$666,880"
415,Jordan Walsh,BOS,SF,Wing,1.7 ,"$2,221,677 ","$605,990 ","-$1,615,687"
416,Adou Thiero,LAL,PF,Forward,1.7 ,"$1,272,870 ","$605,990 ","-$666,880"
417,Dario Šarić,SAC,C,Center,1.7 ,"$5,426,400 ","$605,990 ","-$4,820,410"
418,Kobe Brown,LAC,PF,Big,1.7 ,"$2,654,880 ","$605,990 ","-$2,048,890"
419,Jett Howard,ORL,SF,Wing,1.7 ,"$5,529,720 ","$605,990 ","-$4,923,730"
420,Christian Koloko,LAL,C,Center,1.7 ,"$636,435 ","$605,990 ","-$30,445"
421,Maxi Kleber,LAL,C,Big,1.7 ,"$11,000,000 ","$605,990 ","-$10,394,010"
422,Hugo González,BOS,SG,Wing,1.6 ,"$2,783,880 ","$542,800 ","-$2,241,080"
423,Chaz Lanier,DET,SG,Wing,1.6 ,"$1,272,870 ","$542,800 ","-$730,070"
424,Dillon Jones,WAS,PF,Forward,1.6 ,"$2,753,280 ","$542,800 ","-$2,210,480"
425,Maxime Raynaud,SAC,C,Center,1.6 ,"$1,272,870 ","$542,800 ","-$730,070"
426,James Wiseman,IND,C,Center,1.6 ,"$2,667,947 ","$542,800 ","-$2,125,147"
427,Cody Williams,UTA,SF,Wing,1.6 ,"$5,742,480 ","$542,800 ","-$5,199,680"
428,Dariq Whitehead,BKN,SF,Forward,1.6 ,"$3,262,560 ","$542,800 ","-$2,719,760"
429,Yanic Konan Niederhäuser,LAC,C,Center,1.5 ,"$2,743,800 ","$484,975 ","-$2,258,825"
430,Isaac Jones,SAC,PF,Big,1.5 ,"$1,955,377 ","$484,975 ","-$1,470,402"
431,Jaylon Tyson,CLE,SF,Forward,1.5 ,"$3,492,480 ","$484,975 ","-$3,007,505"
432,AJ Johnson,WAS,PG,Combo,1.5 ,"$3,090,480 ","$484,975 ","-$2,605,505"
433,Rayan Rupert,POR,SG,Combo,1.5 ,"$2,221,677 ","$432,194 ","-$1,789,483"
434,Nikola Đurišić,ATL,SF,Forward,1.4 ,"$1,272,870 ","$384,141 ","-$888,729"
435,Tyler Smith,MIL,PF,Big,1.4 ,"$1,955,377 ","$384,141 ","-$1,571,236"
436,Keshad Johnson,MIA,PF,Forward,1.4 ,"$1,955,377 ","$384,141 ","-$1,571,236"
437,Leonard Miller,MIN,PF,Big,1.3 ,"$2,221,677 ","$340,511 ","-$1,881,166"
438,Hunter Tyson,DEN,SF,Forward,1.3 ,"$2,221,677 ","$340,511 ","-$1,881,166"
439,N'Faly Dante,ATL,C,Center,1.3 ,"$2,048,494 ","$340,511 ","-$1,707,983"
440,Pacôme Dadiet,NYK,SF,Forward,1.3 ,"$2,847,600 ","$340,511 ","-$2,507,089"
441,Joe Ingles,MIN,SF,Forward,1.3 ,"$2,296,274 ","$340,511 ","-$1,955,763"
442,Micah Peavy,NOP,SF,Wing,1.3 ,"$1,272,870 ","$301,004 ","-$971,866"
443,Tyrese Proctor,CLE,SG,Combo,1.3 ,"$1,272,870 ","$301,004 ","-$971,866"
444,Bronny James,LAL,SG,Wing,1.2 ,"$1,955,377 ","$265,331 ","-$1,690,046"
445,Ariel Hukporti,NYK,C,Center,1.2 ,"$1,955,377 ","$265,331 ","-$1,690,046"
446,Anthony Gill,WAS,PF,Big,1.2 ,"$2,296,274 ","$265,331 ","-$2,030,943"
447,Garrett Temple,TOR,SG,Combo,1.2 ,"$2,296,274 ","$265,331 ","-$2,030,943"
448,Cam Christie,LAC,SF,Wing,1.1 ,"$1,955,377 ","$233,210 ","-$1,722,167"
449,Bobi Klintman,DET,PF,Forward,1.1 ,"$1,955,377 ","$233,210 ","-$1,722,167"
450,Chris Livingston,MIL,PF,Forward,1.1 ,"$2,296,274 ","$204,373 ","-$2,091,901"
